# BoxNumber,N_stars,R_g[pc],Width_1sigma[pc],Error_1sigma,Width_SD[pc],Error_SD,Spur,Arm
51,1450,2509.8440202529555,286.17371539844044,4.463853410336466,648.9506560431323,2.868186105332697,1,1
52,1387,2509.1586642741504,294.0347235723653,4.8565640243380575,646.1539314738948,3.8934817617650253,1,1
53,1455,2508.9275001285246,307.16306234565377,4.639311699952541,648.6776180787929,4.174968449394611,1,1
54,1637,2509.2053311283785,311.45444625673474,4.091226911827277,698.4404893934552,1.535339194433189,1,1
55,1843,2510.0440145692096,305.8092224251176,4.409089387881353,599.0665826152531,2.626038705110417,1,1
56,1943,2511.4922259024074,307.45594539509403,4.045856646627164,648.9719214311789,2.044670068458246,1,1
57,1821,2513.595233239343,309.16855961866173,4.260361327184708,799.4095076266918,3.5605835881095746,1,1
58,1576,2516.3946854834367,310.1717110928365,4.648229895250469,599.5562737850673,4.063181220804767,1,1
59,1410,2519.928417348768,319.90321995904685,4.797448137507633,599.8718368766449,4.978484405115764,1,1
60,1286,2524.2302743971186,325.6732067628104,5.460672012463922,549.9470002193672,3.815309592755358,1,1
61,1353,2529.3299610084628,313.42780349420707,5.439539931739362,399.11273645167734,2.1345084390709834,0,1
62,1404,2535.25291389549,308.4389012969104,5.446843431185502,398.83190648751656,1.5678218740308547,0,1
63,1343,2542.020203387213,293.61963400504044,5.917910882828996,399.3576033108433,0.6445853617193228,0,1
64,1400,2549.648464250786,281.4180491116744,5.932970648298223,399.05718183935437,0.7594023610739001,0,1
65,1366,2558.149857308263,274.35066458676243,5.821635904834284,399.208980196722,0.6725559270358008,0,1
66,1311,2567.532062553327,274.5441963489924,5.783780546530196,449.5430731868214,0.98150928302321,1,1
67,1305,2577.798303900971,262.37885735844696,6.347711578348935,399.08663314697094,0.7105612074127409,0,1
68,1240,2588.947405130769,249.78483795821415,6.444768612702915,399.76040652788674,0.35701407970756877,0,1
69,1100,2600.97387603174,241.74791826258667,6.775245077722073,399.2532162699956,1.5102339007558938,0,1
70,968,2613.868027242621,232.50944806145026,6.4442653264823635,396.6915378140543,2.836956167348397,0,1
71,790,2627.616111822243,235.15451334481557,6.7378280072299725,395.99420484159924,3.5741814466797464,0,1
72,676,2642.20049119425,238.0694697685864,7.4652216460113525,346.38738185640193,1.916768013034167,0,1
73,620,2657.599822798719,252.47463564843284,8.013223829125296,299.1486753996945,1.5323910493512296,0,1
74,590,2673.7892665564455,259.68383403965464,8.815300718835436,299.6280438169356,2.1170056998823243,0,1
75,574,2690.7407071119023,275.6218346052908,8.552103349657587,299.6876920384529,4.3673847241789305,0,1
76,528,2708.4229887667725,303.0601737189803,8.629185321793058,249.3190239658653,5.2556586519846435,0,1
77,541,2726.802160042342,307.97391824320056,8.191504128533273,249.51207043392668,5.157899336076061,0,1
78,542,2745.841724908549,326.6085444718472,8.70098770754532,198.50986433593198,5.54700765692236,0,1
79,537,2765.502897880018,332.1113722731832,8.664474300975687,196.57889162482587,3.3212736309954662,0,1
80,542,2785.7448603940875,324.18231400918324,8.656110654846207,196.20588521087126,2.24432727994547,0,1
81,522,2806.525016140683,318.6035818448656,8.526025701414321,147.81164872548055,1.8614609617058724,0,1
82,503,2827.799243297016,301.13072414834227,8.541350156371026,196.99971722272022,2.2676171883508,0,1
83,513,2849.5221419203353,307.66166402044223,8.394985778710764,199.23871392758298,2.27876473406522,0,1
84,610,2871.647275058714,284.8627079705671,8.387689856815562,249.43234061492967,2.29860688577285,0,1
85,665,2894.1274024442155,280.9681750622139,8.380350969682599,249.7803137516828,1.9545180398403426,0,1
86,682,2916.91470592704,284.56451222902166,8.144050447474154,198.7073773871777,1.0971480637245887,0,1
87,698,2939.961006087284,295.95120074722183,7.2668229444751296,198.98691977441717,0.9773260010845968,0,1
88,602,2963.2179697183433,321.7061451629034,7.552545615945069,148.36580489736156,0.32538442509764115,0,1
89,515,2986.6373081095403,347.4923180506865,7.424126820003005,149.06837881463525,0.8360269565581242,0,1
90,443,3010.1709662635485,346.4959431222269,7.977492620585424,149.41235377216373,0.17128690791810197,0,1
91,460,3033.771303366033,336.16555231280523,8.297788639994216,149.15962302399583,0.48927404432022714,0,1
92,499,3057.391264980785,311.26801171265197,8.619768673472521,149.53100986423942,0.4618145380940766,0,1
93,598,3080.9845475747807,292.9802714081574,7.707177115203849,245.1774732008056,2.266393813900754,0,1
94,710,3104.5057560853506,279.4732390807606,7.18819493633609,235.82861097578024,1.7178476893565018,0,1
95,755,3127.9105553282543,276.3802499774433,7.134546322433482,239.8624221309403,1.9933653896995958,0,1
96,756,3151.1558161129547,278.845910506095,7.285384048629837,244.3681521877303,2.406639338973665,0,1
97,724,3174.199756982074,280.817061615927,6.976054315141189,245.65071079384,2.4584798872328886,0,1
98,720,3197.002082528222,275.46456033637924,6.649340978119977,244.84798058654533,2.0574989807148616,0,1
99,721,3219.524119265202,272.1563474388347,7.286585971503265,297.73362030767936,2.0581407444295725,0,1
100,769,3241.728950044054,291.0555464793021,6.664619552731567,297.87643689494007,1.762298074606448,0,1
101,804,3263.581548009176,304.08893493857727,6.486749305198358,297.7566982545221,0.9452048389148858,0,1
102,800,3285.0489110874296,315.44238931448706,6.362923184311609,297.897156239879,1.3120124684900214,0,1
103,814,3306.100197994844,322.56705021319533,6.461368969427537,399.9058306295883,4.166660101343076,1,1
104,844,3326.7068667321514,323.2152799711223,6.384706129162201,399.8801231372189,4.765558698454426,1,1
105,833,3346.8428165225764,328.666445707213,6.270437966087786,199.35831830823332,4.166179838388414,0,1
0,1442,2563.390640576754,284.7970429883902,5.068346743638266,548.8970831954659,3.964652065252766,1,2
1,1606,2601.346756861579,304.8081928494924,4.312889039514709,643.6118348452727,2.289121413852827,1,2
2,1663,2635.984715606968,314.09167377070526,4.085912486246218,794.9910201667333,5.959019736704818,1,2
3,1807,2667.2575868217855,309.8200674599334,4.511276322919846,648.7562274166321,1.5355830749998678,1,2
4,1854,2695.1478232075456,303.15249900096353,4.4958136428807025,748.1767291806586,2.037033669423723,1,2
5,1667,2719.6630259674644,313.1640559530051,4.792276302749185,697.9551657916402,1.7628645823455813,1,2
6,1480,2740.832499057093,310.4673606893283,4.753881489487135,749.3023568779088,4.755550349988643,1,2
7,1542,2758.7044459889803,294.0642071253739,5.062415766814199,599.2757592222865,3.4328543342735425,1,2
8,1715,2773.343691080668,267.05606215188556,4.553544133192042,449.55615192789696,1.1051194071926165,0,2
9,1730,2784.829829684619,271.2013571751238,4.469617378611069,447.6959983240763,0.9016206196688608,0,2
10,1740,2793.2557301842135,271.255063585502,4.736742731387078,449.6812078743492,1.391218893679639,0,2
11,1619,2798.726325101235,272.96496843855556,5.092699652026499,448.3777119959509,1.1984946486822516,0,2
12,1404,2801.3576401838463,272.22069351160013,5.781872714445867,448.99392212457224,1.5705854693658559,0,2
13,1406,2801.276019380002,264.4349580482419,5.172692786840073,348.88182819111034,1.1849666181091745,0,2
14,1384,2798.6175106018445,264.5345455941412,5.148180284170547,344.92855677641455,3.0518931373270273,0,2
15,1332,2793.5273825153317,266.07133539007106,4.784827949634214,543.1528669247741,4.474692432046608,1,2
16,1206,2786.1597465338946,263.478237783649,5.075463759125051,448.17780739665386,2.0346997968724154,1,2
17,1125,2776.677260981265,278.08227450504245,5.43510163959394,398.7692253382779,1.423280675035322,1,2
18,1080,2765.2508961941667,285.02059322020324,6.247341977652364,599.0146148413787,5.423831325347576,1,2
19,1076,2752.059740302597,277.71556085110905,6.79375154492366,598.4274990045838,7.00564113775357,1,2
20,1029,2737.2908256725723,287.934905366796,7.166831236885213,448.93761035819534,4.606972657028885,1,2
21,992,2721.138955631015,293.1340508369164,7.365119442842813,448.762083243701,4.757500895402755,1,2
22,1008,2703.8065102231853,283.3441967576391,7.685641471373252,399.1611473601265,3.1546555244073353,0,2
23,918,2685.5032085009293,270.0561539244637,8.028360815838615,349.6625189278798,2.239340011808592,0,2
24,854,2666.445803352213,266.03271579306687,8.133756860611717,344.19795666117307,1.5670511231272979,0,2
25,727,2646.85768334407,296.9365046580862,8.49069967349733,299.06531189980115,1.249374955415613,0,2
26,684,2626.96835469708,311.39172590339956,7.552225220208544,249.3229130394575,2.1161176142041183,0,2
27,872,2607.012775632048,301.11151571623304,6.406917488655782,448.86553006496706,5.023298492792089,0,2
28,1012,2587.230515281876,277.49998747779387,5.82108148778831,448.14744086899054,0.8547166583281952,0,2
29,1103,2567.864710550354,264.9575221309028,5.604543936795489,498.9558295911397,2.0075577933635107,0,2
30,923,2549.1607971669514,257.54249237753584,6.473654250312922,446.8847990172908,2.03542569385561,0,2
31,856,2531.3649961725155,258.1096559918602,6.711512667816086,399.51873797139115,1.6915046434470191,0,2
32,918,2514.722544558073,254.24769701374055,6.44266119460091,398.34498174709415,3.187200589649392,0,2
33,1148,2499.475669016828,237.28103077306292,5.886306892363963,348.133669888382,1.1359100024493543,0,2
34,1044,2485.861314783345,234.43183919473455,6.408406316389027,346.6867005540794,0.3787108470487263,0,2
